	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1	0.295841272362	0.024148865585	1.4184509923	0.202769226051	0.0815069843083	0.0583658613222	0.265521393261	0.130073163998	0.179401088929	0.0959952052569	0.174386687253	-0.109838084471	-0.0822622107969	0.0330359894421	0.176940305775	-0.310699588477
Graffiti	-0.0293474051704	1	-0.0987983438764	0.704372528301	0.0676381339324	-0.0543814129809	-0.0291109556591	0.095862267871	-0.0047902156047	-0.0968824559717	-0.0539861202316	-0.0298383754662	-0.0653996101365	-0.103092783505	-0.0652826497033	0.0713347861778	0.209278350515
Ice	-0.0313300269052	0.111225188227	1	0.536157132437	0.0	0.0667072675599	0.0727489564699	0.084602917342	0.0971271570423	-0.00760456273764	0.00636462504325	-0.0153846153846	-0.00236966824645	0.0	-0.00339174674958	0.169385026738	-0.025
Litter	-0.482043006424	-0.344729920367	-0.550900521798	1	-0.334122600066	-0.462253859607	-0.462300370325	-0.344288725327	-0.423693171595	-0.435848605938	-0.496815490335	-0.698448773449	-0.663215907202	-1.0600930473	-0.543316079169	-0.358226317297	-0.818551367332
Weeds	-0.0652125659091	0.121883965863	0.0	0.901562000498	1	-0.00638121661352	-0.00110022268981	0.13050334347	0.030509391435	-0.0324691713698	-0.0223800763708	-0.125743780916	-0.132008374413	-0.0815602836879	-0.0371207339554	0.131880704363	-0.0106209150327
Benches	-0.0155484189526	0.139085571747	-0.0513744596499	0.893984893018	0.175125918926	1	0.0595486315674	0.248748789873	0.118676978755	0.138032720702	0.0800496116465	0.0545313952826	-0.115839702898	-0.0539772727273	-0.0177234882861	0.170405511402	0.262025734081
Fences	0.00415243268914	0.191790130639	-0.0437785728483	0.835890532721	0.141299178869	0.0641580730488	1	0.287899282293	0.119749932127	0.100969380703	0.0405779910498	0.0456870285808	-0.0789780152948	0.16862745098	0.0275899294602	0.238451234397	-0.0725038402458
Paved Surfaces	-0.0460558196438	0.0451140766251	-0.128246314733	0.573705466621	0.0179407165777	-0.044296761671	-0.0212335103992	1	0.00522997043561	-0.0155270372013	-0.0417435472168	-0.0831927446794	-0.22091524915	-0.224274406332	-0.0874845840132	0.102737450896	-0.250645097261
Play Equipment	-0.0728515795286	0.14484469632	-0.0743796394486	0.466130958744	0.0265260123584	-0.0212786722548	0.00684901948864	0.14730599769	1	0.00450846558631	-0.0328282994994	0.0469052224371	-0.0510204081633	-0.0377358490566	-0.0322417812524	0.111581936822	-0.027027027027
Safety Surface	-0.0292147610405	0.157437059652	-0.0661596958175	0.529462769828	0.0223835450696	-0.00172182579759	0.0421740801842	0.198228068691	0.120099259894	1	0.0213747236628	-0.078142604217	-0.22641509434	0.0	0.00182992431054	0.230834150765	0.0
Sidewalks	-0.0363156032752	0.0904120501122	-0.00736329303448	0.790222606343	0.156311312793	0.124699289868	0.0455209508714	0.266107362125	0.0793338194276	0.124746752941	1	0.0296303305577	-0.0689890710383	-0.0716981132075	0.0193968270232	0.216174533272	-0.0762554964129
Athletic Fields	-0.0403121379404	0.208367684447	-0.0892307692308	1.01925267715	0.203168685927	0.0151714257484	0.048360167547	0.109446857748	0.0206995757684	0.0181787291879	0.00957292455211	1	-0.0921288014311	-0.0204081632653	-0.0353265052395	0.143037350941	1.27210884354
Horticultural Areas	0.0734811165846	0.0734567901235	0.0	0.535088270403	0.569910514541	0.101792114695	0.104764143551	0.172425570672	-0.00850340136054	-0.0125786163522	-0.0102459016393	0.240950226244	1	0.0	0.117876224399	0.572930212397	0.0
Trails	-0.012853470437	-0.0128865979381	0.0	0.986522911051	-0.0177304964539	-0.0142045454545	-0.0133333333333	-0.0131926121372	0.0	0.0	-0.0150943396226	0.0	0.0	1	-0.0133333333333	-0.012987012987	-0.00460829493088
Lawns	0.000332857499692	0.107459853017	-0.0255737704918	0.791723697823	0.211229197949	0.0255223881083	0.0384721891104	0.157831068494	0.0859903781286	0.0341537532235	0.0361496518748	0.0987524286737	-0.0486535449995	-0.04	1	0.193651939898	-0.031746031746
Trees	-0.128196456942	0.0322322889471	-0.0628342245989	0.596163312186	0.0865798877957	-0.050762752955	-0.0416529510466	0.102537231109	-0.0384368785345	-0.0891009997449	-0.0707017428393	-0.101355838406	-0.164979105382	-0.171428571429	-0.0764155262756	1	-0.10950982192
Water Bodies	-0.115226337449	-0.115463917526	-0.366666666667	0.503787878788	0.0916666666667	-0.108545034642	0.00456989247312	0.0114628820961	-0.144144144144	-0.25	0.242729306488	-0.285714285714	-0.174672489083	-0.175115207373	-0.126984126984	-0.00865155131265	1
