,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,-0.00255976176879,-0.0152091254753,0.0294971279283,0.0352542015462,-0.016168544831,0.0254552996029,-0.00830217620554,0.00322439157391,-0.0072202166065,-0.00908507223114,-0.042654028436,-0.0391705069124,-0.0303234501348,-0.0166121959177,0.0136179426052,0.131444614599
Graffiti,-0.00490320564162,1.0,-0.0496183206107,0.0213405880223,0.00863991186535,0.0510018214936,0.0919240168851,0.0218358661044,0.050812500743,0.0487749546279,0.0241312741313,-0.0105898653998,-0.0390804597701,-0.043956043956,0.0141901297768,0.0422173101715,0.0650988411725
Ice,-0.02154626109,-0.0216284987277,1.0,-8.7489063867e-05,0.0,-0.0216962524655,-0.0239436619718,0.00631578947368,0.00668098305894,0.0,-0.0189328743546,0.0,-0.0258620689655,-0.0116279069767,-0.0036563071298,0.00744178268322,-0.015625
Litter,0.230077597841,0.0865574250183,-0.000926354793886,1.0,0.0728332058213,0.06617504742,-0.0916017339042,0.0130518381787,0.00419893692466,0.0768132750468,0.10244638193,0.111571805503,-0.206388206388,0.160554643313,-0.0442758783182,0.00654152874539,0.127214170692
Weeds,0.0771945447649,0.0113120495557,0.0,0.0268683472694,1.0,0.0730061305601,0.0727953907696,0.0202442422752,0.0180199232011,0.0945733509401,-0.00221306471306,-0.0698412698413,-0.0473186119874,0.101766190076,0.0716990953475,0.0349938604874,-0.0718954248366
Benches,-0.0587947084762,0.055063913471,-0.0591715976331,0.0247023293451,0.0738173097885,1.0,0.0395851339672,0.0216301623624,0.016091864991,0.031928058741,-0.00677816415521,-0.0192907801418,0.0771037181996,0.0440121580547,0.0134821266558,0.00744284954811,0.253921568627
Fences,0.0414675041918,0.0687675851507,-0.0422535211268,-0.0186410530702,0.0426119360603,0.029358974359,1.0,0.0512508372491,0.0586375849534,0.0270531400966,0.0205493483776,-0.0166037735849,-0.0292682926829,-0.0223367697595,0.0430107526882,0.0310520432244,0.0375816993464
Paved Surfaces,-0.0498130572332,0.047967312426,0.118421052632,0.00848900044146,0.0370829110836,0.0487595185458,0.153183058,1.0,0.0439787684059,0.105252622308,0.196273075583,-0.000287081339713,-0.106699751861,-0.0458152958153,0.0184309198862,0.0927074129964,-0.0869565217391
Play Equipment,0.0188626907074,0.0600511372417,0.0244969378828,0.00248224448033,0.0225249040013,0.0242450765864,0.0813596491228,0.0222962128197,1.0,0.031955736224,-0.0153198653199,-0.0397832817337,-0.046875,-0.0384615384615,0.0101607322735,0.0381524078558,-0.0481927710843
Safety Surface,-0.0216606498195,0.0139357013223,-0.0185185185185,0.0157933836545,0.0339036541106,0.0126611267421,0.0100358422939,0.0143243213791,0.00744599679006,1.0,-0.0250626566416,-0.00520833333333,-0.037037037037,-0.0769230769231,0.00844998912019,0.00544662309368,-0.047619047619
Sidewalks,-0.0122299049265,0.0160875160875,-0.0378657487091,0.0167733370918,-0.00100214251158,-0.00369107949046,0.0141562177713,0.0460884145095,-0.00616531165312,-0.0350877192982,1.0,-0.0331632653061,-0.030612244898,-0.00246118894358,0.0917187223761,0.0146309134409,-0.0264900662252
Athletic Fields,-0.0592417061611,-0.0115525804362,-0.0480769230769,0.0355001199328,-0.0634920634921,-0.0114826072273,-0.0172955974843,-0.000107119902878,-0.0274367460233,-0.0625,-0.0612244897959,1.0,-0.0322580645161,-0.0449438202247,-0.0567901234568,0.0102883312907,-0.0298507462687
Horticultural Areas,-0.0207373271889,-0.0206896551724,-0.0344827586207,-0.022113022113,-0.0157728706625,0.0224885844749,-0.0170731707317,-0.0173697270471,0.0,0.0,-0.0127551020408,-0.0241935483871,1.0,0.0464268351969,-0.00789473684211,-0.0209302325581,-0.0116279069767
Trails,-0.0404312668464,-0.0879120879121,-0.0813953488372,0.0397704162336,0.130387931034,0.0440121580547,-0.0876288659794,-0.0485103132162,-0.0576923076923,0.0,-0.00779376498801,-0.0561797752809,0.263085399449,1.0,-0.0885668276973,0.0417306707629,-0.0901467505241
Lawns,-0.0195875145896,0.00970903616309,-0.0255941499086,-0.00684877420609,0.0382395175187,0.00855596499309,0.0364326375712,0.00523347107881,0.00496490326999,0.0168999782404,0.0971944669956,-0.037037037037,-0.0421052631579,-0.0273752012882,1.0,0.00477339064656,-0.0248756218905
Trees,0.0522359887989,0.0867987897126,0.031162464986,0.00315206727852,0.0539018334927,0.0143810991269,0.0773195876289,0.0840269436147,0.0554944114266,0.0252525252525,0.0502540070361,0.031722354813,-0.151162790698,0.0470418470418,0.0147598263413,1.0,-0.0362654320988
Water Bodies,0.102869698382,0.0390593047035,-0.046875,0.0116236298095,-0.0196078431373,0.0282135076253,0.0614973262032,-0.0260869565217,0.0,0.0,-0.0242825607064,0.0,-0.0193798449612,-0.0251572327044,-0.0232172470978,-0.00906635802469,1.0
