	propID
20	B030
34	B047
35	B047A
81	B112
82	B113
135	B165
175	B210D
197	B223C
199	B223DB
200	B223DC
201	B223DD
202	B223DE
203	B223DF
204	B223DG
205	B223DH
206	B223DI
207	B223DJ
224	B223OA
241	B224A
262	B245A
286	B255P
402	B393
403	B394
407	B398
408	B399
409	B400
415	B406
417	B408
418	B409
419	B410
420	B411
421	B413
422	B414
423	B415
424	B416
425	B417
428	B420
429	B421
430	B422
431	B423
432	B424
433	B425
434	B426
435	B427
436	B428
441	B436
442	B438
443	B439
444	B440
445	B441
446	B443
447	B444
448	B445
449	B446
450	B447
451	B448
452	B449
453	B450
454	B451
455	B452
456	B453
457	B454
458	B455
459	B456
460	B457
461	B458
462	B459
463	B460
464	B461
465	B462
466	B463
467	B464
468	B465
469	B466
470	B467
471	B468
472	B469
473	B470
474	B471
475	B472
476	B473
477	B474
478	B475
479	B476
480	B477
481	B478
482	B479
483	B480
484	B481
485	B482
486	B483
487	B484
488	B485
489	B486
490	B487
491	B488
492	B489
493	B490
494	B491
495	B492
496	B493
497	B494
499	B496
500	B497
501	B498
502	B499
503	B500
504	B501
505	B502
506	B503
507	B504
508	B505
509	B506
510	B507
511	B508
512	B510
513	B511
514	B512
515	B513
516	B514
517	B515
518	B516
519	B517
520	B518
521	B519
522	B520
523	B521
524	B522
525	B523
526	B524
527	B526
529	B528
531	B530
532	B531
533	B532
534	B533
535	B535
538	BS01
539	BS02
540	BS03
541	BS04
542	BS05
543	BS06
544	BS07
545	BS08
546	BS09
547	BS10
548	BS11
549	BS12
550	BS13
551	BS14
552	BS15
553	BS16
554	BS17
555	BS18
556	BS19
557	BS20
558	BS21
559	BS22
560	BT09
565	BZ02
566	BZ04
567	BZ05
568	BZ06
569	BZ09
570	BZ10
619	M048
628	M060A
632	M062
640	M071A
655	M091
656	M092A
657	M092B
659	M094
660	M094A
662	M095A
663	M096
672	M108A
680	M108R
686	M113A
722	M182
752	M208B
758	M209
781	M232
811	M271A
815	M278
818	M281
829	M291
831	M293
834	M296
835	M297
836	M297A
837	M298
838	M299
844	M305
845	M306
846	M307
848	M310
849	M311
850	M312
851	M313
852	M313A
853	M314
854	M315
855	M316
856	M317
857	M319A
858	M319B
860	M321A
861	M322
862	M323
863	M324
864	M325
865	M326
866	M327
867	M328
868	M329
869	M330
870	M331
871	M332
872	M333
873	M334
874	M335
875	M336
876	M337
877	M339
878	M340
879	M341
880	M342
881	M343
882	M344
883	M345
884	M346
885	M347
886	M348
887	M349
888	M350
889	M351
890	M352
891	M353
892	M354
894	M356
895	M357
896	M358
897	M359
899	M361
900	M362
901	M363
902	M364
903	M365
904	M366
905	M367
906	M368
907	M370
908	M371
909	M372
910	M373
911	M374
912	M375
920	MS01
921	MS02
922	MS03
923	MS04
924	MS05
925	MS06
926	MS07
927	MS08
928	MS09
929	MS10
930	MS11
931	MS12
934	MT08
937	MZ06
940	Q001D
950	Q010
971	Q027A
985	Q040A
1008	Q066
1026	Q078
1071	Q133A
1090	Q162G04
1091	Q162G12
1092	Q162G13
1094	Q162H01
1095	Q162I01
1096	Q162I07
1110	Q198
1133	Q220H
1176	Q309
1202	Q341A
1229	Q360A
1243	Q360Y
1274	Q393B
1350	Q475
1353	Q478
1354	Q479
1358	Q487
1359	Q488
1360	Q489
1361	Q490
1364	Q493
1366	Q495
1367	Q504
1368	QS01
1369	QS02
1370	QS03
1371	QS04
1372	QS05
1373	QS06
1374	QS07
1375	QS08
1387	QZ05
1388	QZ06
1389	QZ07
1390	QZ08
1391	QZ105
1392	QZ109
1393	QZ12
1394	QZ16
1395	QZ17
1396	QZ18
1397	QZ23
1398	QZ28
1399	QZ35
1400	QZ38
1401	QZ40
1402	QZ42
1403	QZ45
1404	QZ83
1405	QZ94
1406	QZ95
1407	QZ97
1409	R003
1418	R013
1422	R017A
1430	R027
1472	R075E
1473	R075G
1475	R077
1483	R088
1486	R094
1487	R096
1489	R098
1502	R112
1505	R116
1524	R136
1525	R137
1526	R138
1527	R139
1529	R141
1531	R143
1534	R146
1536	R148
1537	R149
1538	R150
1539	R153
1544	R169
1545	RS01
1546	RS02
1547	RS03
1548	RS04
1549	RS05
1550	RS06
1551	RS07
1552	RS08
1553	RS09
1554	RS10
1555	RS11
1556	RS12
1557	RS13
1558	RS14
1559	RS15
1560	RS16
1562	RZ44
1576	X010B
1577	X010C
1631	X072
1643	X088A
1645	X091
1648	X094
1669	X118A
1688	X145
1692	X148A1
1700	X148D
1703	X148F2
1704	X148F3
1705	X148F4
1706	X148F5
1720	X149
1726	X150K
1728	X150M
1743	X164A
1757	X179A
1767	X191C
1768	X191D
1772	X195B
1794	X225
1799	X233A
1801	X236
1804	X241
1808	X245
1812	X249
1815	X252A
1816	X252B
1830	X266A
1836	X271A
1838	X272A
1844	X277A
1845	X277B
1858	X290
1863	X296
1864	X297
1865	X298
1869	X303
1878	X316
1879	X317
1880	X318
1881	X319
1882	X320
1883	X321
1884	X322
1891	X329
1894	X332
1911	XS01
1912	XS02
1913	XS03
1914	XS04
1915	XS05
1916	XS06
1917	XS07
1918	XS08
1919	XS09
1920	XS10
1921	XS11
